Region,Ecoregion
Colombo,Sri Lanka Lowland Rain Forests
Gampaha,Sri Lanka Lowland Rain Forests
Kalutara,Sri Lanka Lowland Rain Forests
Kandy,Sri Lanka Lowland Rain Forests
Matale,Sri Lanka Dry-Zone Dry Evergreen Forests
Nuwaraeliya,Sri Lanka Montane Rain Forests
Galle,Sri Lanka Lowland Rain Forests
Matara,Sri Lanka Lowland Rain Forests
Hambantota,Sri Lanka Dry-Zone Dry Evergreen Forests
Jaffna,Deccan Thorn Scrub Forests
Mannar,Sri Lanka Dry-Zone Dry Evergreen Forests
Vavuniya,Sri Lanka Dry-Zone Dry Evergreen Forests
Mulativu,Sri Lanka Dry-Zone Dry Evergreen Forests
Killinochchi,Deccan Thorn Scrub Forests
Batticaloa,Sri Lanka Dry-Zone Dry Evergreen Forests
Ampara,Sri Lanka Dry-Zone Dry Evergreen Forests
Trincomalee,Sri Lanka Dry-Zone Dry Evergreen Forests
Kurunegala,Sri Lanka Dry-Zone Dry Evergreen Forests
Puttalam,Sri Lanka Dry-Zone Dry Evergreen Forests
Anuradhapura,Sri Lanka Dry-Zone Dry Evergreen Forests
Polonnaruwa,Sri Lanka Dry-Zone Dry Evergreen Forests
Badulla,Sri Lanka Dry-Zone Dry Evergreen Forests
Monaragala,Sri Lanka Dry-Zone Dry Evergreen Forests
Ratnapura,Sri Lanka Lowland Rain Forests
Kegalle,Sri Lanka Lowland Rain Forests
