Region,Area_km2,,,,
Colombo,676,,,,
Gampaha,1341,,,,
Kalutara,1576,,,,
Kandy,1917,,,,
Matale,1952,,,,
Nuwaraeliya,1706,,,,
Galle,1617,,,,
Matara,1270,,,,
Hambantota,2496,,,,
Jaffna,929,,,,
Mannar,1880,,,,                                  
Vavuniya,1787,,,,
Mulativu,2489,,,,
Killinochchi,1205,,,,
Batticaloa,2610,,,,
Ampara,4222,,,,
Trincomalee,2529,,,,
Kurunegala,4624,,,,
Puttalam,2882,,,,
Anuradhapura,6664,,,,
Polonnaruwa,3077,,,,
Badulla,2827,,,,
Monaragala,5508,,,,
Ratnapura,3236,,,,
Kegalle,1685,,,,
